4,0_note,1_note,2_note,3_note,master,0_command,1_command,2_command,3_command,0_event,1_event,2_event,3_event
--,,D#5 2,F#5 2,,,,,,fm_depth 10; fm_frequency 70,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,C#3 10,,G#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,G#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,C#5 1,C#5 2,G#4 2,,,,,,,,,
,,C#5 1,,,,,,,,,,,
,,C#5 1,,A#4 1,,,,,,,,,
--,,D#5 1,C#5 2,G#4 2,,,,,,,,,
,,D#5 1,,,,,,,,,,,
,,D#5 1,,F#4 1,,,,,,,,,
####,,A#4 1,C#5 2,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,C#5 1,C#5 2,F#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,F#5 1,C#5 2,F#4 5,,,,,,,,,
,,,,,,,,,,,,,
,,D#5 1,,,,,,,,,,,
--,,C#5 3,C#5 2,D#4 1,,,,,,,,,
,,,,,,,,,,,,,
,,,C#5 1,,,,,,,,,,
####,F#3 6,,C#6 2,F#4 1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,C#6 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,A#5 1,C#6 2,,,,,,,,,,
,,A#5 1,,,,,,,,,,,
,,A#5 1,,,,,,,,,,,
--,,C#6 1,C#6 2,,,,,,,,,,
,,C#6 1,,,,,,,,,,,
,,C#6 1,,,,,,,,,,,
####,C#3 6,,G#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,G#5 2,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,fm_frequency 0.75; fm on,,,,,,
-----,,D#6 1,G#5 2,,,,fm_depth 0,,,,,,
,,D#6 1,,,,,,,,,,,
,,D#6 1,,,,,,,,,,,
--,F#3 3,F#6 3,G#5 2,F#5 3,,,fm_depth 1,,Volume 70; fm on; sine off,,,,
,,,,,,,fm_depth 3,,,,,,
,,,,,,,fm_depth 5,,,,,,
LYRICS,D#3 10,,,,,sine off; square on; volume 80,fm_depth 0,Volume 10,Volume 50; fm on; sine off,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,A#4 1,,,,,,,,,
--,,,,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,F#4 1,,,,,,,,,
####,,,,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,F#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,,F#4 6,,,,,fm_frequency 1.5; fm_depth 1,,,,
,,,,,,,,,fm_depth 2,,,,
,,,,,,,,,fm_depth 3,,,,
--,,,,,,,,,fm_depth 10; fm_frequency 70,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,D#3 10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,A#4 1,,,,,,,,,
--,,,,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,F#4 1,,,,,,,,,
####,,,,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,F#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,,F#4 6,,,,,fm_frequency 1.5; fm_depth 1,,,,
,,,,,,,,,fm_depth 2,,,,
,,,,,,,,,fm_depth 3,,,,
--,,,,,,,,,fm_depth 10; fm_frequency 70,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,C#3 10,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,A#4 1,,,,,,,,,
--,,,,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,F#4 1,,,,,,,,,
####,,,,G#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,F#4 2,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,,F#4 5,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,D#4 1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,F#3 6,,,F#4 1,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
-----,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
####,C#3 6,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,fm_frequency 0.75; fm on,,,,,,
-----,,,,,,,fm_depth 0,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
--,F#3 3,,,F#5 3,,,fm_depth 1,,Volume 70; fm on; sine off,,,,
,,,,,,,fm_depth 3,,,,,,
,,,,,,,fm_depth 5,,,,,,
####,,,,,,,,,,,,,
